language,x1,x2,x3,x4,x5,x6,x7,x8
emae1237,-,i,k,-,-,-,-,a
futu1245,-,i,k,-,-,-,-,a
poly1242,-,i,k,-,-,-,-,a
tong1325,-,i,k,-,-,-,-,a
wall1257,-,i,k,-,-,-,-,a
east2447,-,i,k,-,-,-,-,a
tiko1237,-,i,k,-,-,-,-,a
niue1239,-,i,k,-,-,-,-,a
samo1305,-,i,7,-,-,-,-,a
tuva1244,-,i,k,-,-,-,-,a
anut1237,-,i,k,-,-,-,-,a
renn1242,-,i,k,-,-,-,-,a
onto1237,-,-,k,a,N,a,h,a
sika1261,-,i,k,-,-,-,-,a
nuku1259,-,i,k,-,-,-,-,a
pile1238,-,i,k,-,-,-,-,a
kapi1249,-,i,g,-,-,-,-,a
tuam1242,-,i,k,-,-,-,-,a
penr1237,-,i,k,-,-,-,-,a
raro1241,-,i,k,-,-,-,-,a
mang1401,-,i,k,-,-,-,-,a
maor1246,-,i,k,-,-,-,-,a
raka1237,-,i,k,-,-,-,-,a
puka1242,-,i,k,-,-,-,-,a
rapa1244,7,i,k,-,-,-,-,a
nort2845,-,i,7,-,-,-,-,a
hawa1245,-,i,7,-,-,-,-,a
tahi1242,-,i,7,-,-,-,-,a
ruru1237,-,i,7,-,-,-,-,a
raiv1237,-,i,7,-,-,-,-,a
mele1250,-,i,k,-,-,-,-,a
